Respondant,Region,Store,Liked,Donﾒt like,Would Like,NPS Score
11,Bay of Plenty,TAURANGA - Cameron Road,I could get my wheels aligned at the same time as replacing my 2 front tyres . A lot of other shops would only do that if I made an appointment. Also I could use my gold card which was quite a saving.,Nothing ,I was quite satisfied with the service I received.,1
12,Auckland,AUCKLAND - SILVERDALE,Nothing,Neither of the guys who answered could be bothered helping me.  I eventually called through to Glenfield where they couldn't have been more helpful and sorted out the quote and arranged for delivery straight away.,,1
13,Christchurch,CHRISTCHURCH - HORNBY,Friendly Service,The price. After I paid for mine an older gentleman came in and asked for a discount which he was given (quite a decent amount too) felt that was a bit on the nose and exemplified the stereotype that women get charged more in regards to car repairs/tyres.,Be more discreet about discounts to new customers when  previous customer have already paid full price or offer the previous customer the same discount.,1
14,Auckland,AUCKLAND - KINGSLAND,The tyres were good,For Warrant purposes I needed 2 tyres. I filled in the form and came back the next morning (9.15am) my van was taken into the shop immediately (great service) 10.35am I drove out (why so long to change two tyres).  Not happy,Speed up the way they change the tyres.  No wheel alignment was given or additional services.,1
15,Hawke's Bay,WAIPUKURAU,nothing,didnt have a clue about what was going on left with no new tyre,better communication between phone rep and stores,1
16,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Prompt friendly service.,Went in for an Alignment. Did the alignment but on driving back to Napier both front tyres wore out and actually blew out! Tread right down to the steel on both tyres. Had to get a tow from Tawarea to Napier costing $276.00. Your staff didn't notice the worn bush in the steering that made any alignment only temporary. Very expensive exercise and potentially dangerous...,,1
17,Bay of Plenty,ROTORUA - AMOHAU ST,Quick service and friendly team member,All good,I have asked that the receipt be forwarded to me with a comment on what was done (re Nail n tyre) and as yet have not received any thing back,1
18,Otago,DUNEDIN - CUMBERLAND ST,Friendly,Charged a forture to fix a flat tyre to which other company have never charged anything. forgot to put cover back onwheel and had to drive all the way back with a vey tired toodler. and a weird thing ig is my speedo seems to be out now.,all other places i have purchased tyre from fix puncures free of charge. $30+  to fix a punture is a rip off.,1
19,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Outstanding service and reasonably priced.,Everything was good. Nothing to dislike,,1
20,Waikato,HAMILTON - TE RAPA,,My parents who are from out of town got a flat tyre and visited the store and recieved very rude service and directed them to another tyre repair store who is apparently able to fix the tyre. It was not explained why they were unable to repair the tyre. I rang up to inquire as to why it was unable to be repaired and this was explained as it had a side hole (something along those lines) and was illegal to repair. The man was very aggressive on the phone and I explained that the the reason why it was unable to repaired was not explained. I then said that I was finding his tone quite agreesive and asked his name he said' Forget it: and hung up. I would expect better more professional service than this from your store and would be hesitant in recommending or using your services if this is indicative of customer service. I would appreciate a response to this email.,,1
21,Tararua,DANNEVIRKE,Actually visited Pahiatua - looks like you have already canned it so not sure what the survey is actually about. - A WASTE OF TIME,,,1
22,Otago,QUEENSTOWN,The prices of tyres.,Went into the branch for a price on tyres for my car and to my dismay the gentleman who was sitting in the chair with his feet on the counter acting like it was a lazyboy did not seem interested in serving me so the other guy who was beside this guy checked my car for size of tyre.Then while putting numbers in there system he seemed to be distracted in talking about sport or something that the other gentleman was looking at on the other computer.After i had been given a price i was asked how many i needed and i replied i was not too sure and if  you be able to check for me as i will be driving to Auckland...he called out to another guy who was working with another customer on the floor to check my tyres and get back to him while he went and sat back down..I went out to my car with this young gentleman who was so helpful that he checked all my pressures while going around the car and leaving the customer he was serving he got the price for 4 tyres and explained i would also need a wheel alignment which was very helpful.He could do it straight away for me as the stock was there but they seemed not that busy but the guy laid back in his own world said a booking needed to be made which did surprise the young guy who was so keen in getting it done.After an awful experience I found a far better service from another company. ,Customer Service does not seem to be a Priority at this branch and how tough it is in the tyre Industry just showed me it does pay to shop around.,1
23,Waikato,HAMILTON - TE RAPA,Prompt service,Misunderstanding of quoted price. I asked for price for two 4x4 tyres plus wheel alignment. given a price which I thought was good value arranged to go in. When I went to pay for the work I found out the tyre price was for each tyre not for both which I thought. Hence was very disappointed.,Always give total price when asked,1
24,Auckland,AUCKLAND - HENDERSON,The fly buys discount. ,They forgot to take the $20 discount per tyre off. (I bought 2 new.) Which i didn't realise till I got home. Which was a 20min drive away and i had bypassed my local firestone to use the voucher. The manager/owner then argued with me about it trying to say it was only for a certain tyre even though the voucher clearly said $20 off EACH tyre. No brand name was written on voucher.,i wont be using beaurepairs again. next time I'll take the voucher in to my local firestone and ask them to do same discount.,1
25,Otago,DUNEDIN - CUMBERLAND ST,Location was close to work,Hidden extras,,1
26,Christchurch,CHRISTCHURCH - NORTHWOOD,The service was good. I was not impressed receiving your discount voucher and double fly buys from the W.O.F the day after purchasing aI tyre and they would not accept it .,,I would have thought they could have given the discount.,1
27,Northland ,WHANGAREI - 73 REYBURN ST,Nothing,Asked for a quote on line 15/07/12. No reply. Waste of time.,,1
28,Bay of Plenty,ROTORUA - TE NGAE RD,Called casually at Beaurepairs on 29 June to check slow leak in one of  tyres. Served immediately and  nail removed and tyre repaired. Prompt and efficient service.,,,1
29,Auckland,AUCKLAND - TAKANINI,There were no problems arranging to get two tyres that i needed for a warrant and they were put on the next day with no delays as i was under a time constraint and the the guys were pleasant to deal with. thankyou,,,2
30,Auckland,AUCKLAND - EAST TAMAKI,Quick service and after service query,Service. After the alignment steering wheel got on one side and the guy blamed it on tyres. If it was tyres would have been like that even before alignment. ,Would have been a recheck on the alignment. Was told about it but no effort was made to do so really,2
31,Hawke's Bay,NAPIER - CARLYLE ST,Friendly and seems to have done a good job,$30 seems a bit excessive as the competition fix's punctures for free. Thought I would try beaurepairs as the location was suitable. ,Would be good to offered or told about other services and deals.,2
32,Bay of Plenty,MOUNT MAUNGANUI - HULL ROAD,the fly buys ,i had hassles as soon as i walked in the door! i was a pre approved now finance customer had the print out all i was told to do is hand over the print out and they will do the rest so easy as that . Not so !Paul Langdon  was rude lazy and did nothing but winge that he had to process this said that he was not Beaurepaires he was carters even tho it said beaurepaires on the front of the shop as does may contract as does my reciept.  I had to come back the next day to fit tyres when i rang to see if the tyres were there he then said the computers was down so come in at 2.30pm. i arrived early it still took 1 hr and 15 mins. i was handed my contract so i attempted to check it by reading it told its just a contract just sign. i said i have the right to read it thank you.  i still don't know if the tyres i got are the ones quoted such a bad experience  !!! ,some one to ring me back asap!!!!!! I want my Tyre price checked i would like this  guy Paul Langdon to hear this complaint and to make sure it is triple fly buys as i was told today  ,2
33,Auckland,AUCKLAND - TAKANINI,Prompt service,Initially they declined to give bonus fly buys on puncture repair as said it only applied to purchases. Took a long time to sort it out which was annoying as I was then late to get to work.,All staff should be aware of bonus offers,2
34,Manawatu,LEVIN,The service was fast and efficient explained tyre differences.,Nothing,The service seems to be working fine.,2
35,Wellington,WELLINGTON - PARAPARAUMU,They fitted me in quickly and repaired the tyre quickly,The tyre exploded on SH1 just outside Sanson causing my vehicle to swerve violently towards the ditch and hit a roadside post before I overcorrected into the oncoming line of traffic (fortunately nothing coming) and back onto the grass verge on the left.  The AA came and changed tyre but screw holding one of the nuts sheared when they tried to take the tyre off.,,2
36,Christchurch,RANGIORA,,quoted $200 then when came 2 pay it was $200 plus gst,,2
37,Bay of Plenty,ROTORUA - TE NGAE RD,Not much,Very poor customer service....this branch has been steadily going downhill on customer service front.,This branch needs to get staff who enjoy dealing with people and who smile and are welcoming.,2
38,Christchurch,DARFIELD,Convenient location,When I arrived tyres agreed going on weren't in stock.  No phone call to warn me.  Had to change my tyre choice which was annoying.  Still no follow up call on a further enquiry.  Not the service I would expect from Beaurepaires.,Review operations at this franchise. I doubt I'll go back there.,2
39,Bay of Plenty,WHAKATANE,Good communication,,,2
40,Auckland,AUCKLAND - HOWICK,Price and initial service was good,I took time off work the friday morning and walk down to howick for a cofee. They told me it would take about an hour which was fine. I gave them cell phone number for them to call me. It was close to 1 45 mins later still no word so i called them and said yes car was ready. I then asked the guy while paying how long it had been ready for he said about 50 mins he said the other guy forgot to call me to tell me it was ready. I left the place wild to say the least and never wish to return. ,Call your customers when the vehicle is readyy,2
41,Bay of Plenty,TAURANGA - Cameron Road,,I wrote over a concern re a Gift Card some 10 days ago and have received no response,I would like a response to my original complaint.,2
42,Wellington,LOWER HUTT - VICTORIA ST,Fast and friendly service.,I was pretty happy.,,2
43,Waikato,HAMILTON - CITY,Good service. On time and to commitment,all good,,2
44,Wellington,WELLINGTON - PARAPARAUMU,accomadating,attitude of staff member.,,3
45,Auckland,AUCKLAND - GLENFIELD (Archers Rd),,Would like a list of available tyres and prices on your web site.,,3
46,Northland ,WHANGAREI - WATER ST,The manager listened to my complaint & offered a solution/compromise.,The fact that I had been left to drive around on increasingly unsafe tyres since my previous visit. And it took the local Ford dealership mechanic to identify that the problem with the steering was due to the tyres being overworn.,,3
47,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Work was done quickly - once it started,I had made an appointment online but the booking wasn't in their system. Took a long time to get sorted out.,Better booking system,3
48,Wellington,WELLINGTON - THORNDON QUAY,0,The tyre was not aligned correctly and hence we had to go back and get it fixed the next day.,Align tyres safely.,3
49,Wellington,WELLINGTON - NEWTOWN,service was very good.,on the 30/11/2012 my wife was in Wellington and got a puncture.  She was informed that the nail had gone through the side wall and they couldn't match they tyre for the opposite side.  She was then told by your representative that she should purchase two tyres and proceeded to tell her that he wouldn't put anything less than Dunlop SP Sport 2050 on the car at the cost of $406 each not including balancing and alignment..  My wife was a little stressed as the incident was likely to cause her to miss our son's final so felt pressured to just except this advice. I have never had any trouble with tyres in the $200 range and it seems that your representative has taken advantage of my wife's situation,????,3
50,Wellington,WELLINGTON - PARAPARAUMU,friendly and quick,I thought the price quoted was all  up not per tyre,Please specify per tyre when quoting,3
51,Auckland,AUCKLAND - GREY LYNN (Gt North Road),quick service,wheel alignment didn't fix car pulling to left as promised!,,3
52,Bay of Plenty,TAURANGA - Cameron Road,prompt attention,nil,,3
53,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,A little bit disorganised as no contact details were taken when I dropped off the car and I had forgotten to hand over the keys so the job took much longer than I expected and only half the job could be done.  Otherwise good service.,A little bit disorganised as no contact details were taken when I dropped off the car and I had forgotten to hand over the keys so the job took much longer than I expected and only half the job could be done.  Otherwise good service.,,3
54,Bay of Plenty,TAURANGA - Cameron Road,They were efficient,I had to purchase 2 new tyres for a WOF.  I was quoted $328 for 2 Hankooks which i was happy with.  When I came to pay i presented a $50 Beaurepaires gift voucher as part payment and was told I couldn't use it because the tyres had already been discounted and the system couldn't accept it and that I should have let them kow I was using it before purcahasing the tyres.  I pointed out it wasn't a discount voucher but a gift voucher and I should be able to use it for any portion of any purchase. They refused but offered me a discounted wheel alignemnt for $60 which i didn't want or need.  However as the voucher ran out on 1/11/12 i felt forced to accept it. Not good servic ein my view sorry. ,,3
55,Wellington,LOWER HUTT - RUTHERFORD ST,,didnt think the guys there were that helpful didnt answer my questions i asked treated me like a dumb woman felt i may have got a better deal somewhere else would be reluctanat to go back they didnt  ask for my flybuys when i paid i noticed the sign when i was walking out,to be treated withnrespect and my questions answered when i asked detailed information,3
56,Wellington,LOWER HUTT - VICTORIA ST,Very friendly and helpful,ants on the coffee machine bench,improve skills on using computer,3
57,Wellington,WELLINGTON - KENT TERRACE,Quick service,Different prices on phone,Keeping the wird,4
58,King Country,TAUMARUNUI,,No After hours service,,4
59,Auckland,AUCKLAND - HENDERSON,was quickly worked on,,,4
60,Wellington,WELLINGTON - THORNDON QUAY,Very quick ,did not rotate tyres,,4
61,Waikato,MATAMATA,,Asked for 2 tyres to be changed and took the wrong one off and now have to go back and get it changed again.  More wasted time!,More communication between staff.,4
62,Wellington,LOWER HUTT - RUTHERFORD ST,The work they did was quite good.,Went in on a saturday and they overcharged me by $100 on my eftpos. Its now thursday and I still havent seen the refund come through. It shouldnt take 4-5 business working days to do a simple $100 bank deposit/refund.   ,Most retail/ service outlets nowadays have a merchant eftpos card which can be used to put money straight back onto someones card. That would have been amazing compared to being out of pocket by $100 for a whole working week. ,4
63,Hawke's Bay,HASTINGS - HERETAUNGA ST,Nice quick service ,On or way home we lost 3 of our 4 hub caps due to them not been put on properly.,Zip tiring the hub caps of!,4
64,Wellington,WELLINGTON - KENT TERRACE,Overall decent service,Had to argue to get pricematch with a quote from Tonys Tire Service. Princess weren't very competitive. ,,4
65,Otago,DUNEDIN - CUMBERLAND ST,Prompt service,THe additional charges quietly put in without proper acknowledgement especially the tyre disposal levy. ,Be more transparent about your charges -not likely to return,4
66,Waikato,TE AWAMUTU,service and price was ok.,The wheel nuts on the right front wheel were not tightened properly. I heard a noise luckily at below 50 km/h and returned to the shop. It could have lead to a nasty accident at higher speed!,,4
67,Southland,INVERCARGILL - ESK ST,the fast service,they put on a second hand tyre without consulting what i wanted,,4
68,Otago,DUNEDIN - CUMBERLAND ST,I liked getting new tyres at a reasonable price,I didn't like that I was booked in for 10am and when I arrived I was told that it would take over an hour. I had planned to just wait while it was done but instead I had to make my own way back to work wasting more of my time. I would have expected this if I had just rocked up to the store but being booked in I was expecting it to be done at that time. ,,4
69,Wellington,WELLINGTON - PARAPARAUMU,Same day service,I have already submitted customer feedback to say I didn't like the fact I was quoted a price over the phone which was doubled when I came to pay.,,4
70,Waikato,HAMILTON - TE RAPA,We actually went to Lincoln Street not Te Rapa got great service,the fact that the store has been sold to Carters,non,4
71,Auckland,AUCKLAND - EAST TAMAKI,,I had booked an appointment at the East Tamaki Branch on Saturday. When I got there I was told that the store did not hold those tyres. I had to re-schedule my appointment with another store on Monday and I felt that this was very incompetent especially if you are promoting loyalty and online bookings. No compensation was offered for this debacle as I had to take time off work to go on a monday to have the job done.,I would like to see better communication to gain loyalty towards your brand.,4
72,Bay of Plenty,ROTORUA - AMOHAU ST,,they put the wrong size tyre on the warrant place wouldnt give me a warrant so had to go back so they could put the right one on. Not good enough Beaurepaires......,,4
73,Auckland,AUCKLAND - NEWMARKET,,Straight up hung up when I said I would look around. Even if they had the best deal I would not have rung back.,,4
74,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,The staff were friendly and very helpful. The price was reasonable.,Getting a puncture in the same tyre that got repaired the next day then being told it couldn't be fixed and it would cost another $166 for a new tyre. Not receiving 2 call backs to discuss.,,4
75,Auckland,AUCKLAND - HENDERSON,Friendly and helpful staff.  Free puncture repairs included in the deal.,I was confused because I thought the initial quote included fitting and balancing and a wheel alignment.,A written quote would have been helpful including the cost of the wheel alignment.,5
76,Bay of Plenty,TAURANGA - Cameron Road,The quick and efficient service,having a flat tyre in the first place,Hire beautiful women,5
77,Christchurch,CHRISTCHURCH - TUAM ST,It met my needs. Easy to deal with.,,,5
78,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Very friendly and kind service,Toilets were so dirty...really gross. Whole place needed a good scrub and a womans touch,,5
79,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Service - friendly.,Price,,5
80,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,qick hassle free,nothing,none,5
81,Wellington,WELLINGTON - KENT TERRACE,Its all right but I belive the price I paid was not a competitive one for 4 tyres which cost me$ 934.00,,,5
82,Christchurch,CHRISTCHURCH - TUAM ST,Friendly Efficient Service,The overall cost was more than expected.,Explain to customer the breakdown of costs prior to any maintenance.,5
83,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Close buy to work and drive in.,Not as friendly as they usually are.  More expensive than when it was Frank Allens....,Look like you work as a team and be a little more friendly.  I've been going there for years.,5
84,Auckland,AUCKLAND - MT ROSKILL (Cnr Richardson and McGowan Sts),Fast service.,I was informed that all my tyres need to be changed as they would be a rating 1 in the WOF however they were a 3 and did not need to be changed.,,5
85,Auckland,AUCKLAND - TAKAPUNA (Barrys Point Rd),The guys seemed to know what they were doing and what was needed. They arranged to fit a new tyre that day,I didn't get any options for prices or kinds of tyres,,5
86,Wellington,WELLINGTON - UPPER HUTT,Quick wervice,Communication wasn't great and I thought the tires offered were expensive... with no cheaper alternative offered.,,5
87,Christchurch,CHRISTCHURCH - SYDENHAM,easy to book,Service was better than my previous visit.  There was nothing I didn't like this time,,5
88,Southland,INVERCARGILL - ESK ST,Great Service. Immediate start. Good records of previous tyres I had bought and when. Friendly.,Magazines were all womens mags in the waiting room. TV set to marketing channel. No tea just coffee.,Better magazines to read. Tea instead of coffee.,5
89,Christchurch,CHRISTCHURCH - HORNBY,Helpful service,Nothing,Lower prices,5
90,Auckland,AUCKLAND - (Quay Street),Friendly team - quick too.,Tyres were expensive as they didn't have budget ones in stock.,Offer a broader range of budget tyres.,5
91,Otago,DUNEDIN - ANDERSONS BAY RD,Good and efficient service for a Saturday. very quick and polite. good to deal with.,,Bringing back the discount to N.Z.M.C.A. members. For the ammount of Motorhomes on the road it is a nobrainer not to to do so.,5
92,King Country,TAUMARUNUI,Fast efficient service,Price and I wasnt able to pay cash and qcard. Had to be all cash.,The abilty to use 2 payment types in one transaction.,5
93,Auckland,AUCKLAND - WAIUKU,Quick and polite - same price as competitors.,,,5
94,Southland,GORE,They are very helpfull staff,They didnt have midrange priced tyres,,5
95,Auckland,AUCKLAND - GLENFIELD (Archers Rd),On picking up my car the guys were friendly and informative on wheel alignment details although the tech that worked on my car had left. He left clear communication with other staff.,I made a booking by phone but nobody knew. There was nowhere safe to leave my keys when dropping off car before opening hours.,Have a slot in the wall or door to drop keys in a secure place for early drop offs.,5
96,Auckland,AUCKLAND - (Quay Street),The guys helped me out even though they were about to close for the day.,,,5
97,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,helpful at booking centre. good price for tires. can use farmlands card.,not convinced by being told that front bearings were too loose to adjust. the right one was looked at recently by my garage and not considered a problem. when i phoned the garage and told them what work had been recommended they thought it was a bit strange. last time i was there the left hand thread was tightened not loosened and i had to take it to the garage to be sorted out so i don't have much confidence in the wheel alignment service any more.,,5
98,Otago,DUNEDIN - ANDERSONS BAY RD,,We booked our vehicle in for a wheel alignment and balance and when turning up they recommended we get 4 new tyres as it wouldnt pass the next warrant.  The annoying thing about this is we paid for the 4 news tyres on this saturday and then on the monday it was advertised buy 3 new tyres get the 4th for free - that could of saved us $350. A nice saving 3 wks before xmas!,,5
99,Otago,DUNEDIN - ANDERSONS BAY RD,Easy to deal with. Fast and efficiant,Bearing caps seem to be missing from a few wheels?,I remember hearing of a deal buy 3 get 1 free.. I purchased 3 new tyres but was not informed of a potential new free tyre,5
100,Bay of Plenty,WHAKATANE,4 new tyres put on quickly,had to wait a few days cos not enough tyres in stock,I would loke a written quote so would know all costs before,5
101,Otago,DUNEDIN - ANDERSONS BAY RD,Good explanation of tyre types available,Somewhat racist remarks about Chinese made tyres ,,5
102,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),A range of tyres in stock.  The waiting area was clean.  There was a coffee machine - but I didn't use it ,My discount through the PPTA ACC 10001670 only gave me 50c discount.  It took ages to do and I felt mean claiming it.  Bad because this was one of my motivations to go to you.,Awareness of group discounts. ,5
103,Christchurch,RANGIORA,,$30.00 to fix a puncture was pretty expensive!,,5
104,Waikato,HAMILTON - TE RAPA (Pukete Road),Fast friendly service,Charged for tyre disposal but had taken my old tyres (only realised this once I was home),Better prices,5
105,Otago,DUNEDIN - CUMBERLAND ST,Good service.,Having to pay!,Choice of tyres and prices being available for viewing.,5
106,Nelson & Marlborough,NELSON,It was good service that delivered what was promised.  The team was very friendly. ,The website says click for a quote but that is misleading.  Someone phoned me rather than me being able to see what my tyres could cost.  It was very hard to say no over the phone and I felt I had to purchase.  ,,5
107,Wellington,WELLINGTON - THORNDON QUAY,Efficent friendly and effective service,Nil,The daily newspaper,5
108,Bay of Plenty,TAURANGA - CBD,Quick friendly service,Price a bit higher than competitors even with discount.,,5
109,Wellington,LOWER HUTT - VICTORIA ST,The actual price of the tyre was cheaper than originally quoted,I was told I would get a phone call when the order for my tyre arrived but I didnt so I phoned and no-one answered.,Making sure they do what they say they're going to do,5
110,Northland ,WHANGAREI -  23 REYBURN STREET,Excellent service in terms of supplying and fitting the tyres.,5km down the road I lost one of my front hubcaps and neither the email or the website info I sent to you via general enquiries has been replied to as to whether or not you could assist with the cost of replacing it as they are around $50 from Ford.,I would like some confirmation of the email I sent and/or the general enquiry I made via this web site or if that all fails at least respond to this feedback as so far I have heard nothing and being rural any phone calls I make cost $$ and the 0800 number only takes me to the nearest branch.,5
111,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,I found out that my car had had the wrong size tires on it for a wee while. And have been given advice on how to keep the wear of my tires down.,I didnt get a phone call when my car was finished. I had to phone them. When I was driving down the road I saw that my bonnet had been left open. And I had asked to keep my rear right tire and this was not in my car as promised. ,To do what they say they are going to do. ,5
112,Wellington,WELLINGTON - THORNDON QUAY,Fast and professional service,,,5
113,Northland ,KAITAIA,Good price and the gave me a ride back to work,,,5
114,Wellington,WELLINGTON - KENT TERRACE,Ability to book online. Competitive pricing. Didn't have to wait. Blacked tires.,Hard sell TOO MUCH! Put me off returning. Told me another tire was needing replaced and needed alignment. I declined and took to Honda for a WOF next day as was due anyway. They passed the car AND tires with no new tire required and no alignment required. So who do I believe? -Honda. The car would not have got a WOF if in fact what Beaurepaires staff said was accurate and that I needed a new tire.,Loosen up on the hard sell - it's not McDonalds. I found it intimidating as a woman taking the car in alone.,5
115,Auckland,AUCKLAND - BROWNS BAY,Your service guy came out to me when I was getting my baby out of the car to serve me.  He then brought the form out of the office so I didn't have to try and get the pram inside which was helpful.,My husband had made the reservation for me and asked for the two front tyres to be replaced.  When I got there the service guy said they had been told 4 tyres.  I said no definately only the front two at this stage.  He came across as almost argumentative. ,I am not sure if someone in the office passed on an incorrect info (he said the booking was under lada) or not but feel a little bit of customer service training may have gone a long way in how the service guy spoke to me.  I am in customer service myself and know how hard it can be to get a team all trained  up but when they get it right - it is impressive.,5
116,Otago,DUNEDIN - ANDERSONS BAY RD,They offered to replace the spare tyre I had put on with the repaired punctured one after it was fixed.,They lost the piece that securees my spare back in the boot. This email reminded me that they still havent rung to say if they found it.,My lost part to be found or replaced.,5
117,Waikato,HAMILTON - TE RAPA,friendly enough did the job straight away,the price $31,maybe smile a bit more,5
118,Auckland,AUCKLAND - KINGSLAND,Friendly Staff.  Flexible in terms of booking time.,Was told that I must have given wrong tyre size which is why I had to wait another day for it to be ordered.  Told that the front tyre which was replaced at Beaurepairs Kingsland in  December 2011 needed replacing as well as the one the other front tyre that I'd gone in for.  Quoted $245 per tyre.  Found the invoice from Dec and realised I'd only paid $160 for the tyre recommended then.  Told a wheel alignment would be done but was not told that would incur and extra charge.  Pricing is not transparent or clearly communicated when job is booked.  Frustrated as when I got home saw that Goodyear tyres had been put on however I hadn't been told the brand name so didn't think that I could use my $20 off per tyre email voucher that I'd recieved from VTNZ for use at Beaurepairs - most annoying as that's what made me phone thinking I could save.  Asked to use my 25 bonus point flybuy offer on each tyre but told I could only use for the one invoice.  Asked to be invoiced twice and told not possible.,Price expect to pay including GST and recommended wheel alignment should be clearly outlined.  Flybuy point redemption should also be made clear.  Full brand name of tyre recommended should be given so that any offers can be taken advantage of.  I assume that a customer's history is kept on file so an explanation of difference in tyre recommendation should be provided.  I only searched out the old invoice as I went in expecting to pay for 1 tyre and then had to pay $580 for two and was sure that Beaurepairs had done the one they were recommending to be replaced less than 12 months ago - as was the case!  Feel that as I looked a flustered mother with twins crying in the car demanding attention that perhaps the wool was pulled over my eyes?,5
119,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),great service,didn't put the tyre on properly,,5
120,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),,Your website makes me advise a phone number when all I want is an email tyres quote.  I don't need a phone call so I won't provide a phone number or I'll get pestered.,,5
121,Waikato,MATAMATA,good,Bad,more,5
122,Mid & South Canterbury,TIMARU - BARNARD ST,prompt,n/a,n/a,5
123,Bay of Plenty,TAURANGA - CBD,That all the same people were there from Frank Allens.,I did not like the fact that I wasnt given the option of Road Hazard Insurance.It was just on the the invoice and I noticed after I paid and got it home.,That every one is given the option of Road Hazard Insurance. I will be awake to this next time and I will be telling people to beware of this being added. The rating below reflects this.,5
124,Auckland,AUCKLAND - EAST TAMAKI,Took me back to my work while my car was getting worked on,the fact my brand new tyre went flat overnight! ,,5
125,Otago,OAMARU,Fitted me in at short notice. Worked through lunch time to suit my timing.,Very expensive.,Look at your pricing and be more competitive.,5
126,Nelson & Marlborough,NELSON,Convenient position,,,5
127,Christchurch,DARFIELD,Price,job not finished on time arranged,,5
128,Waikato,TE AWAMUTU,Quick service. Friendly.,,Cheaper product.,5
129,Hawke's Bay,HASTINGS - HERETAUNGA ST,Friendly Lady @ the Omahu Store,Boys couldn't find the puncture hole,Biscuilts with the coffee,5
130,Auckland,AUCKLAND - TAKANINI,Very good service,The price,,5
131,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Quick service,Tyre was a little more expensive than others on the market but I was in a hurry.,Wider range of low end tyres.,5
132,Waikato,TE AWAMUTU,The price,Nothing,,5
133,Taranaki & Wanganui ,HAWERA,FAST SERVICE FRIENDLY STAFF JOB WELL DONE,PRICE,CHEAPER TYRES ,5
134,Waikato,CAMBRIDGE,The tyre I needed for my car was ordered and arrived the next day. The job was completed within 1/2 an hour.,I didnt find the staff member I dealt with very friendly. He wasnt rude  but was not really willing to engage in any conversation. I had to ask if I could use my flybuys card etc. I certainly wasnt thanked for coming and perhaps would return to beaurepaires. ,Maybe some pr courses for the current staff. ,5
135,Auckland,AUCKLAND - PUKEKOHE Manukau Rd,reasonably quick,Not sure whether I actually got the best price for my tyres.  I am also entitled to a discount being a Counties Manukau District Healthboard employee and they did not recognise or realise this so I did not get my discount  )-:,ensure all staff no about discounts that are advertised,5
136,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),They were able to fit in with my schedule,They didnt offer to do a wheel alignment,Being proactive re such things as wheel alignments ,5
137,Mid & South Canterbury,TIMARU - BARNARD ST,Enquired one day and booked in the next day for fitting.,,Service with a smile!,6
138,Otago,DUNEDIN - CUMBERLAND ST,Prompt service and felt very straightforward and trustworthy to deal with.,,,6
